'egyptians': [160, 15] 
'indian': [157, 15] 
'climate': [156, 18] 
'jealous': [156, 34] 
'sabbath': [152, 7] 
'homer': [151, 18] 
'admire': [143, 30] 
'intelligent': [142, 26]
'sport': [137, 28] 
'mary': [137, 16] 
'criminal': [136, 21] 
'posterity': [136, 25] 
'ancestors': [136, 27] 
'police': [133, 13] 
'weapons': [132, 31] 
'invented': [130, 20] 
'resistance': [130, 24] 
'maxim': [127, 16] 
'civilization': [124, 13] 
'luck': [124, 19] 
'diversity': [124, 15] 
'destiny': [123, 27] 
'zeus': [121, 11] 
'nymph': [121, 12] 
'grieved': [118, 19] 
'voyage': [116, 22] 
'africa': [113, 15] 
'olympus': [113, 12]
'studied': [111, 28] 
'banished': [110, 23]  // i saw exile earlier.. any way to combine synonoyms?? // 'banishment': [51, 18] 
'christianity': [109, 18] 
'asia': [106, 21] 
'sexual': [106, 7] 
'culture': [105, 23] 
'prisoner': [105, 24] 
'intellect': [104, 20] 
'career': [101, 24] 
'politic': [101, 12] 
'impartial': [100, 13] 
'confession': [100, 19] 
'gay': [100, 13] 
'ceremony': [99, 18] 
'coward': [99, 25] 
'job': [99, 9] 
'prophesy': [99, 8] 
'china': [97, 16] 
'hades': [96, 7] 
'prosper': [95, 20] 
'obedient': [94, 28] 
'funeral': [94, 20] 
'complexion': [93, 17] 
'alliance': [92, 22] 
'humility': [92, 18] 
'carthage': [89, 15] 
'childhood': [88, 28] 
'surrender': [85, 18]
'university': [85, 10]
'satan': [84, 9] 
'impatience': [82, 16] 
'logic': [81, 21] 
'disguise': [81, 24] 
'genuine': [81, 22] 
'taxation': [80, 10] 
'pastors': [80, 8] 
'hanged': [79, 16] 
'exile': [78, 21] 
'flattery': [77, 25]
'oppress': [76, 21] 
'tyrannical': [75, 18] 
'treason': [71, 23]
'persia': [67, 13] 
'loyal': [66, 17] 
'invasion': [65, 17] 
'anarchy': [64, 14] 
'supremacy': [64, 12] 
'persecute': [61, 10]
'mortality': [58, 19]
'protest': [55, 24] 
'patriotism': [54, 10] 
'virgil': [54, 11] 
'hebrew': [54, 13]
'treacherous': [51, 20] =
'purgatory': [51, 6] 
'cheat': [50, 17] 
'superstitious': [48, 19] 
'sanctity': [47, 17] 
'chaos': [40, 19]
